Time,PPG,Acc
12.1,412.05847,0.99799
12.12,407.64508,0.99533
12.14,403.38751,0.9793
12.16,398.69158,0.9936
12.18,394.54284,0.99326
12.2,391.10351,0.98972
12.22,388.664,0.98929
12.24,388.00903,0.9936
12.26,387.58364,0.98929
12.28,385.52996,1.0036
12.3,381.44348,0.98399
12.32,374.89862,0.98871
12.34,367.48797,1.0036
12.36,362.22348,0.99856
12.38,359.46841,0.98832
12.4,358.13549,0.99461
12.42,357.15054,0.9889
12.44,355.33544,0.98997
12.46,353.52911,0.9989
12.48,352.93908,1.00327
12.5,352.71923,0.98997
12.52,352.72558,1.00889
12.54,354.21704,0.98958
12.56,359.08343,1.00398
12.58,370.25592,0.99398
12.6,387.73083,0.98997
12.62,406.49035,0.98492
12.64,420.83483,0.99422
12.66,427.1065,0.98399
12.68,425.59344,0.99928
12.7,421.01257,0.99389
12.72,416.69805,0.9836
12.74,412.08441,0.99442
12.76,406.25964,0.98929
12.78,398.63156,0.98326
12.8,389.82385,0.98443
12.82,382.43426,0.99326
12.84,377.22506,0.98496
12.86,373.04302,0.99504
12.88,369.21185,0.97916
12.9,364.18847,0.98423
12.92,357.34234,0.98832
12.94,350.9255,0.99307
12.96,346.69708,0.9989
12.98,345.1491,0.9889
13,346.11428,0.98871
13.02,347.54382,0.98857
13.04,348.01647,0.97891
13.06,347.86743,0.98799
13.08,346.72601,0.98389
13.1,344.75369,0.98958
13.12,342.87493,0.99326
13.14,341.06951,0.98997
13.16,341.0578,0.9836
13.18,346.33761,0.97444
13.2,358.591,0.97872
13.22,377.43811,0.98924
13.24,399.19833,0.9936
13.26,417.12329,1.00346
13.28,427.17333,1.00308
13.3,429.33966,0.99461
13.32,425.46313,1.0036
13.34,419.48767,0.98958
13.36,414.32427,0.98462
13.38,409.44305,0.974
13.4,404.34262,0.97891
13.42,399.44506,0.98399
13.44,395.08801,0.97998
13.46,392.18969,0.98871
13.48,390.18222,0.98462
13.5,386.90844,0.98857
13.52,381.68161,0.98423
13.54,374.37509,0.99957
13.56,365.63223,0.98871
13.58,358.2398,0.99422
13.6,353.15802,0.9836
13.62,348.97503,0.99461
13.64,345.23171,0.99442
13.66,341.27117,0.99326
13.68,337.07342,0.98462
13.7,334.7658,0.99957
13.72,334.85513,0.98871
13.74,336.62133,0.98857
13.76,341.36666,0.98399
13.78,350.43847,0.99442
13.8,364.11193,0.99398
13.82,381.30047,0.9936
13.84,397.79275,0.98399
13.86,409.06991,0.98958
13.88,413.03784,0.99504
13.9,409.42367,0.98832
13.92,401.45858,0.99832
13.94,394.24267,0.99533
13.96,390.01104,0.98997
13.98,389.21917,0.9904
14,391.16687,0.9904
14.02,392.7113,0.9836
14.04,391.76602,0.99442
14.06,388.50262,0.98832
14.08,383.3811,0.99398
14.1,377.94244,1.0097
14.12,373.16522,0.99828
14.14,367.99948,0.9889
14.16,362.47644,0.99326
14.18,357.57019,0.99461
14.2,353.85089,0.99928
14.22,352.56546,0.98929
14.24,353.3117,0.98871
14.26,353.36242,0.99346
14.28,351.44903,0.9989
14.3,347.96856,0.98799
14.32,344.89163,0.99422
14.34,346.83172,0.98958
14.36,356.82739,0.99398
14.38,373.62725,0.9989
14.4,393.74172,0.98871
14.42,411.76043,0.98399
14.44,423.10214,0.99504
14.46,427.75372,0.98423
14.48,427.40295,1.00346
14.5,423.36187,0.99832
14.52,417.43878,0.98326
14.54,410.43426,0.98023
14.56,403.28662,0.99422
14.58,398.41467,0.9889
14.6,396.39575,1.00441
14.62,395.73376,0.98832
14.64,394.57965,0.98399
14.66,390.61392,0.99914
14.68,384.04339,1.00398
14.7,377.77258,0.9989
14.72,372.7503,0.98824
14.74,368.5603,1.00889
14.76,364.82424,0.98871
14.78,360.06445,0.98443
14.8,354.50457,0.98997
14.82,350.41174,1.00389
14.84,348.47875,0.99928
14.86,348.11389,1.0087
14.88,347.72827,0.98929
14.9,345.57177,0.98997
14.92,344.06307,0.98399
14.94,348.36816,0.98399
14.96,361.15246,0.99422
14.98,381.42694,0.98972
15,403.98675,1.00038
15.02,421.75695,0.9793
15.04,431.5277,0.98972
15.06,433.92932,0.98958
15.08,430.64843,0.98929
15.1,423.72045,0.98824
15.12,413.95629,0.98326
15.14,402.39074,0.97916
15.16,392.52923,0.99928
15.18,386.76861,0.9989
15.2,384.74133,0.99995
15.22,384.98492,0.9836
15.24,384.08343,0.99799
15.26,379.21636,0.98929
15.28,371.50219,0.98958
15.3,362.95782,1.00086
15.32,355.15148,0.99422
15.34,349.6705,0.98832
15.36,345.74218,0.99928
15.38,341.98559,0.99553
15.4,338.93145,0.97833
15.42,336.87246,0.98871
15.44,336.07556,0.9836
15.46,336.88677,0.99346
15.48,337.81356,0.99398
15.5,338.901,0.98832
15.52,343.54284,0.99871
15.54,354.42608,0.9904
15.56,372.18896,1.00327
15.58,394.05111,0.9793
15.6,412.7189,1.00441
15.62,422.47811,0.98389
15.64,423.11114,0.98828
15.66,417.48803,0.98915
15.68,410.20043,1.00327
15.7,404.54376,0.9889
15.72,400.1419,1.00398
15.74,396.25857,0.98307
15.76,393.00207,0.98462
15.78,390.36865,0.98972
15.8,389.00836,0.97872
15.82,388.23043,0.99856
15.84,385.73895,0.99398
15.86,381.14816,0.9989
15.88,375.23327,0.99504
15.9,368.83477,1.0036
15.92,363.68267,0.98399
15.94,359.5653,0.99957
15.96,354.67974,0.9889
15.98,349.47332,0.99442
16,344.96044,0.99442
16.02,341.445,0.98929
16.04,339.61187,1.0036
16.06,338.92312,1.00398
16.08,339.52178,0.9989
16.1,344.54339,0.9936
16.12,355.92324,0.99461
16.14,372.65667,0.98832
16.16,391.80712,0.9936
16.18,407.73352,0.98857
16.2,415.92364,0.9936
16.22,416.50866,0.9989
16.24,411.57946,0.9889
16.26,404.28271,0.99326
16.28,398.0393,0.98924
16.3,393.57385,0.9936
16.32,390.50454,0.99832
16.34,388.55148,0.98555
16.36,386.23913,0.98399
16.38,383.51632,0.99326
16.4,381.60601,0.98832
16.42,379.48632,0.9989
16.44,375.85388,0.9989
16.46,370.57147,0.98399
16.48,363.69,0.9904
16.5,357.13116,0.98929
16.52,352.98266,1.00398
16.54,350.67425,0.98929
16.56,349.23553,1.00832
16.58,347.75689,0.99856
16.6,344.99234,0.99867
16.62,341.81069,0.99856
16.64,340.3113,0.98929
16.66,342.39221,0.98399
16.68,350.42187,0.98832
16.7,364.55767,0.99971
16.72,381.87335,0.9949
16.74,399.23062,0.9836
16.76,412.96069,0.99346
16.78,419.81921,0.98555
16.8,419.74328,0.99924
16.82,413.85079,0.99461
16.84,403.93969,0.98399
16.86,393.83419,0.99914
16.88,386.15951,0.98832
16.9,381.5017,0.99398
16.92,379.95724,0.99326
16.94,379.51477,0.99971
16.96,377.72784,0.97833
16.98,374.44869,0.99398
17,370.14447,0.98799
17.02,365.81152,0.9793
17.04,362.44,0.99307
17.06,358.84741,0.98506
17.08,354.6029,0.99398
17.1,351.14526,0.99504
17.12,348.51477,0.98832
17.14,346.74194,0.98399
17.16,346.36395,0.98958
17.18,345.93087,0.99832
17.2,344.50433,0.97833
17.22,342.91894,0.98832
17.24,341.9631,0.99957
17.26,343.75469,0.99461
17.28,350.57513,0.98871
17.3,362.36523,0.98929
17.32,378.38992,0.98972
17.34,396.41387,0.97872
17.36,411.90612,0.9889
17.38,421.93981,0.98423
17.4,425.62622,0.98997
17.42,422.91363,0.99504
17.44,416.11932,0.99442
17.46,408.10418,0.99398
17.48,400.58032,0.98871
17.5,395.34057,1.00422
17.52,392.17437,0.98399
17.54,388.81695,0.99461
17.56,384.66735,0.9836
17.58,379.92156,0.98346
17.6,374.72869,0.98799
17.62,370.09033,0.98832
17.64,365.28369,0.98929
17.66,358.84155,0.99422
17.68,351.65435,0.99504
17.7,344.65454,0.99928
17.72,338.76898,0.9936
17.74,335.88354,0.98867
17.76,335.11303,0.98857
17.78,333.95584,0.99422
17.8,331.98767,0.99461
17.82,329.37075,0.98871
17.84,327.5697,0.99442
17.86,330.17297,0.98997
17.88,339.09191,0.99346
17.9,353.97155,0.98307
17.92,372.68469,0.9889
17.94,390.40997,0.97998
17.96,403.55838,0.99799
17.98,411.66571,0.99824
18,414.35449,0.98389
18.02,412.19863,0.9889
18.04,406.88284,0.99442
18.06,399.25732,0.98443
18.08,391.70755,0.9889
18.1,387.56372,0.99398
18.12,387.21307,0.9936
18.14,388.93106,0.98972
18.16,389.79827,0.99577
18.18,386.77844,0.98871
18.2,380.36349,0.98824
18.22,373.28353,0.99971
18.24,367.23168,1.00038
18.26,362.99325,0.97798
18.28,359.56011,0.99274
18.3,355.28546,0.99075
18.32,351.07092,0.98929
18.34,348.16217,0.99346
18.36,346.27767,0.99785
18.38,345.03198,0.98579
18.4,342.87402,0.9904
18.42,338.9168,0.99389
18.44,336.48556,0.99265
18.46,339.67663,0.99495
18.48,350.17312,0.9889
18.5,367.12542,0.98871
18.52,385.28802,0.99928
18.54,398.02062,0.99461
18.56,402.71212,0.99326
18.58,400.20837,0.98867
18.6,393.78509,0.9793
18.62,387.59811,0.98423
18.64,382.63,0.98462
18.66,378.31536,0.98443
18.68,375.57858,0.99461
18.7,374.83093,0.99398
18.72,375.86975,0.98857
18.74,377.96295,0.99307
18.76,378.30047,1.00441
18.78,375.48181,0.9936
18.8,371.10235,0.9889
18.82,366.38842,0.98824
18.84,362.89636,0.98443
18.86,361.93914,0.99895
18.88,361.51794,0.9949
18.9,359.54589,0.99298
